id,seller_link,seller_name
1,https://www.amazon.co.uk/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A1DEJ56VTI5WO0&asin=B00FCNF3P2&ref_=dp_merchant_link&isAmazonFulfilled=1,Bikerswear Bham
2,https://www.amazon.co.uk/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A386WOXV03VNJE&asin=B075YNKQMH&ref_=dp_merchant_link&isAmazonFulfilled=1,lipsd eu
3,https://www.amazon.co.uk/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A1ZRIB9CX045Q0&asin=B009E01NEY&ref_=dp_merchant_link&isAmazonFulfilled=1,UK Good Deals Ltd
4,https://www.amazon.co.uk/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A2LE94YMJFT71P&asin=B08DHMD3H3&ref_=dp_merchant_link&isAmazonFulfilled=1,Peedazz
5,https://www.amazon.co.uk/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=AYJ5B68109QQ2&asin=B0BPHVT8W4&ref_=dp_merchant_link&isAmazonFulfilled=1,DREAMAKER LTD.
6,https://www.amazon.co.uk/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A2F1A0ZHJJRQDH&asin=B0BVW49XXS&ref_=dp_merchant_link&isAmazonFulfilled=1,cikuxoy
7,https://www.amazon.co.uk/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A1I15SB1J7NUOD&asin=B07TZTG5JY&ref_=dp_merchant_link&isAmazonFulfilled=1,Narppertue Online Traders
8,https://www.amazon.co.uk/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A1DEJ56VTI5WO0&asin=B00YBOT2OG&ref_=dp_merchant_link&isAmazonFulfilled=1,Bikerswear Bham
9,https://www.amazon.co.uk/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A2FWI9MTWRTX7I&asin=B09QHFG7VH&ref_=dp_merchant_link&isAmazonFulfilled=1,LUROON
10,https://www.amazon.co.uk/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A1X2387GBZSPET&asin=B0B1LD69D9&ref_=dp_merchant_link&isAmazonFulfilled=1,Rhinowalk-UK
11,https://www.amazon.co.uk/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A1KS8Z55NENRWU&asin=B07HYYF27R&ref_=dp_merchant_link&isAmazonFulfilled=1,Hot UK Stuff
12,https://www.amazon.co.uk/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A36VM4CY44F9YI&asin=B09FX27K6P&ref_=dp_merchant_link&isAmazonFulfilled=1,eognfh
13,https://www.amazon.co.uk/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=AWOZRJNDBLD1F&asin=B08F9TQM96&ref_=dp_merchant_link&isAmazonFulfilled=1,yytfy
14,https://www.amazon.co.uk/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A33TFSAUE2K28D&asin=B00HRTX0QS&ref_=dp_merchant_link&isAmazonFulfilled=1,CMGT
15,https://www.amazon.co.uk/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A23866CWMZ8WB6&asin=B09N6KQH7W&ref_=dp_merchant_link&isAmazonFulfilled=1,Rhinowalk Official Store
16,https://www.amazon.co.uk/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A19ZM4BHEH49KL&asin=B09V7G2XLQ&ref_=dp_merchant_link&isAmazonFulfilled=1,Bensoi
17,https://www.amazon.co.uk/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A7QM7CS1YFNOR&asin=B08928G41S&ref_=dp_merchant_link&isAmazonFulfilled=1,YF2019
18,https://www.amazon.co.uk/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A2RCXAQDK3T42M&asin=B00HFSMGXO&ref_=dp_merchant_link,Digiflex
19,https://www.amazon.co.uk/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A368O7OVZP75AQ&asin=B07VMT7HLD&ref_=dp_merchant_link&isAmazonFulfilled=1,MOTOPOWER® DIRECT
20,https://www.amazon.co.uk/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A1VJFRNFKD5KSL&asin=B0BJKD79QW&ref_=dp_merchant_link&isAmazonFulfilled=1,AstroAI UK
